Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
2734,Mcapitata,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2735,Mcapitata,ATHC,8,20181020,11.86135846,Time4,20181018,
2736,Mcapitata,ATHC,12,20190112,15.11300570,Time16,20190111,
2737,Mcapitata,ATHC,10,20181117,5.65446125,Time7,20181109,
2743,Pacuta,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2750,Pacuta,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2753,Mcapitata,ATHC,8,20181020,14.49056302,Time4,20181018,
2756,Mcapitata,ATHC,11,20181215,14.01213268,Time12,20181214,
2860,Mcapitata,ATHC,7,20181006,10.44660245,Time2,20181005,
2861,Pacuta,ATHC,8,20181020,-2.43601190,Time4,20181018,
2862,Mcapitata,ATHC,9,20181103,15.69366309,Time6,20181103,
2866,Mcapitata,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2870,Pacuta,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
2873,Pacuta,ATHC,9,20181103,15.41115904,Time6,20181103,
2875,Mcapitata,ATHC,7,20181006,15.19133416,Time2,20181005,
2877,Pacuta,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
2878,Pacuta,ATHC,7,20181006,11.68968092,Time6,20181103,
2879,Pacuta,ATHC,11,20181215,11.57780944,Time12,20181214,
2977,Pacuta,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2979,Pacuta,ATHC,9,20181103,14.41792621,Time6,20181103,
2986,Mcapitata,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
2990,Mcapitata,ATHC,12,20190112,13.10897647,Time16,20190111,
2993,Pacuta,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2995,Mcapitata,ATHC,9,20181103,9.62178006,Time6,20181103,
2999,Pacuta,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
